original_object_number;original_model_grasping_rescale;original_model_tags;model_maker;model_text;model_source;model_description;barcode_text;acquisition_method;concave_filled;rotationally_symetric;inner_concavity;recognition_id
9272;1;reusable_bottle,als_object;Stanford;sports water bottle;Household;white plastic;;3dsom;FALSE;TRUE;FALSE;
9274;1;glass;IKEA;000.919.29;IKEA;DIOD red glass 8oz;;3dsom;TRUE;TRUE;TRUE;
9276;1;bowl;IKEA;001.324.25;IKEA;Bowl, 365+ DROM, 11cm;;3dsom;TRUE;TRUE;TRUE;
9277;1;mug;IKEA;001.324.49;IKEA;Mug, 365+ beige, 10 oz.;;3dsom;TRUE;FALSE;TRUE;
9279;1;bowl;IKEA;001.334.82;IKEA;Bowl, 365+, dark grey, 13cm dia.;;3dsom;TRUE;TRUE;TRUE;
9280;1;glass;IKEA;100.151.24;IKEA;glass, SVALKA, 6 pack, 7oz;;3dsom;TRUE;TRUE;TRUE;
9281;1;glass;IKEA;100.302.09;IKEA;glass, RATTVIK, snaps/liqueur, 2oz;;3dsom;TRUE;TRUE;TRUE;
9283;1;saucer;IKEA;100.919.00-saucer;IKEA;saucer, black, 18cm dia.;;3dsom;TRUE;TRUE;TRUE;
9284;1;cup;IKEA;100.919.00-cup;IKEA;cup, black, 17oz;;3dsom;TRUE;FALSE;TRUE;
9285;1;mug;IKEA;100.922.16;IKEA;Beer mug, MJOD, 20oz;;3dsom;TRUE;FALSE;TRUE;
9286;1;saucer;IKEA;101.236.56-saucer;IKEA;saucer, teacup, CHARMOR, 15cm sq.;;3dsom;TRUE;TRUE;TRUE;
9287;1;cup;IKEA;101.236.56-cup;IKEA;teacup, CHARMOR, white, 9oz;;3dsom;TRUE;FALSE;TRUE;
9288;1;mug;IKEA;101.328.92;IKEA;mug, blue, LJUVLIG, 7oz;;3dsom;TRUE;FALSE;TRUE;
9289;1;bowl;IKEA;200.572.55;IKEA;Serving bowl, BLANDA BLANK, metal, 20cm dia.;;3dsom;TRUE;TRUE;TRUE;
9291;1;mug;IKEA;200.847.15;IKEA;mug, 365+, white, 10oz;;3dsom;TRUE;FALSE;TRUE;
9293;1;tumbler;IKEA;300.834.71;IKEA;Tumbler, white, POKAL, 17oz;;3dsom;TRUE;TRUE;TRUE;
9294;1;glass;IKEA;200.921.07;IKEA;glass, GODIS, 6 pack, clear, 14oz;;3dsom;TRUE;TRUE;TRUE;
9295;1;glass;IKEA;201.327.78;IKEA;glass, cocktail, PRALIN, blue;;3dsom;TRUE;TRUE;TRUE;
9296;1;glass;IKEA;301.290.30;IKEA;glass, UTSOKT, clear with grid pattern, 17oz;;3dsom;TRUE;TRUE;TRUE;
9297;1;mug;IKEA;201.323.68;IKEA;mug, 365+ DROM, white with texture, 10oz;;3dsom;TRUE;FALSE;TRUE;
9298;1;mug;IKEA;201.324.48;IKEA;mug, 365+, dark grey, 10oz;;3dsom;TRUE;FALSE;TRUE;
9299;1;saucer;IKEA;201.416.26saucer;IKEA;saucer, espresso cup, white, EPISTEL, 3.4oz;;3dsom;TRUE;FALSE;TRUE;
9300;1;cup;IKEA;201.416.26cup;IKEA;cup, espresso, white, EPISTEL, 3.4oz;;3dsom;TRUE;FALSE;TRUE;
9301;1;glass;IKEA;300.151.23;IKEA;wine glass, SVALKA, 6 pack, clear, 10oz;;3dsom;TRUE;TRUE;TRUE;
9302;1;saucer;IKEA;300.631.28saucer;IKEA;saucer, espress cup, stainless steel;;3dsom;TRUE;TRUE;TRUE;
9303;1;cup;IKEA;300.63.28cup;IKEA;cup, espresso, stainless steel;;3dsom;TRUE;FALSE;TRUE;
9306;1;glass;IKEA;000.580.67;IKEA;glass, wine, RARA, clear, 8oz;;orthographic;FALSE;TRUE;TRUE;
9307;1;glass;IKEA;000.921.13;IKEA;glass, clear, SKIR, 17oz;;orthographic;FALSE;TRUE;TRUE;
9308;1;tumbler;IKEA;001.172.98;IKEA;tumbler, beige, ALMHULT, 7oz;;orthographic;FALSE;TRUE;TRUE;
9309;1;glass;IKEA;001.327.79;IKEA;glass, green, PRALIN;;orthographic;FALSE;TRUE;TRUE;
9310;1;bowl;IKEA;100.572.51;IKEA;bowl, glass, clear, BLANDA, 12cm dia.;;orthographic;FALSE;TRUE;TRUE;
9311;1;glass;IKEA;200.580.66;IKEA;glass, clear, RARA, 5oz;;orthographic;FALSE;TRUE;TRUE;
9312;1;glass;IKEA;200.919.28;IKEA;glass, white, DIOD, 8oz;;orthographic;FALSE;TRUE;TRUE;
9313;1;glass;IKEA;210.327.78;IKEA;glass, cocktail, PRALIN, blue;;orthographic;FALSE;TRUE;TRUE;
9314;1;bowl;IKEA;300.814.67;IKEA;bowl, metal, BLANDA BLANK, 12cm dia.;;orthographic;FALSE;TRUE;TRUE;
9315;1;glass;IKEA;300.919.23;IKEA;glass, wine, OPTIMAL, 15oz;;orthographic;FALSE;TRUE;TRUE;
9316;1;bowl;IKEA;301.334.90;IKEA;bowl;;orthographic;FALSE;TRUE;TRUE;
9317;1;glass;IKEA;400.580.65;IKEA;glass, clear, RARA, 10oz;;orthographic;FALSE;TRUE;TRUE;
9318;1;glass;IKEA;401.376.90;IKEA;glass, clear, HAJDEBY;;orthographic;FALSE;TRUE;TRUE;
9319;1;glass;IKEA;401.431.44;IKEA;glass, clear, champagne;;orthographic;FALSE;TRUE;TRUE;
9320;1;glass;IKEA;463.156.00;IKEA;glass, clear, brandy, OPTIMAL, 25oz;;orthographic;FALSE;TRUE;TRUE;
9321;1;glass;IKEA;500.151.22;IKEA;glass, champagne, SVALKA, 6 pack, 5oz;;orthographic;FALSE;TRUE;TRUE;
9322;1;glass;IKEA;500.302.12;IKEA;glass, wine, RATTVIK;;orthographic;FALSE;TRUE;TRUE;
9323;1;glass;IKEA;500.312.83;IKEA;glass, clear, RATTVIK, 12oz;;orthographic;FALSE;TRUE;TRUE;
9325;1;glass;IKEA;500.919.41;IKEA;glass, clear, dessert wine, RARA, 2oz;;orthographic;FALSE;TRUE;TRUE;
9326;1;glass;IKEA;501.161.83;IKEA;glass, clear, wine, 365+ IVRIG, 15oz;;orthographic;FALSE;TRUE;TRUE;
9327;1;cup;IKEA;501.245.12;IKEA;cup, plastic, multiple colors, GROSSBY;;orthographic;FALSE;TRUE;TRUE;
9328;1;glass;IKEA;501.330.69;IKEA;glass, wine, 365+ IVRIG, 16oz;;orthographic;FALSE;TRUE;TRUE;
9329;1;bowl;IKEA;601.349.35;IKEA;bowl, white, 365+, 16cm dia.;;orthographic;FALSE;TRUE;TRUE;
9330;1;glass;IKEA;700.302.11;IKEA;glass, clear, wine, RATTVIK, 8oz;;orthographic;FALSE;TRUE;TRUE;
9331;1;glass;IKEA;701.330.68;IKEA;glass, clear, wine, 365+, IVRIG, 9oz;;orthographic;FALSE;TRUE;TRUE;
9332;1;glass;IKEA;763.305.00;IKEA;glass, clear, cocktail, OPTIMAL, 8oz;;orthographic;FALSE;TRUE;TRUE;
9333;1;bowl;IKEA;800.572.57;IKEA;bowl, serving, wood, BLANDA MATT, 12cm dia.;;orthographic;FALSE;TRUE;TRUE;
